Date,Open,High,Low,Close,Adj Close,Volume
"Apr 05, 2017",51.18,51.88,50.74,51.15,51.15,"6,51,398"
"Apr 04, 2017",50.24,51.3,49.88,51.03,51.03,"5,32,054"
"Apr 03, 2017",50.69,50.83,50.12,50.24,50.24,"4,40,724"
"Mar 31, 2017",50.32,50.85,49.9,50.6,50.6,"5,27,607"
"Mar 30, 2017",49.6,50.47,49.27,50.35,50.35,"5,80,668"
"Mar 29, 2017",48.47,49.63,48.38,49.51,49.51,"5,48,615"
"Mar 28, 2017",47.89,48.74,47.8,48.37,48.37,"5,02,377"
"Mar 27, 2017",48.12,48.28,47.08,47.73,47.73,"4,66,176"
"Mar 24, 2017",47.67,48.2,47.54,47.97,47.97,"4,21,027"
"Mar 23, 2017",48.15,48.48,47.58,47.7,47.7,"4,99,878"
"Mar 22, 2017",48.16,48.32,47.01,48.04,48.04,"6,80,849"
"Mar 21, 2017",47.93,48.73,47.23,47.34,47.34,"6,28,119"
"Mar 20, 2017",48.7,48.74,47.84,48.22,48.22,"1,42,258"
"Mar 17, 2017",48.79,49.2,48.6,48.78,48.78,"1,72,340"
"Mar 16, 2017",49.01,49.62,48.45,48.75,48.75,"5,16,853"
"Mar 15, 2017",48.76,49.04,48.16,48.86,48.86,"6,55,788"
"Mar 14, 2017",48.45,48.79,47.09,47.72,47.72,"8,57,711"
"Mar 13, 2017",48.45,48.68,47.9,48.4,48.4,"6,01,362"
"Mar 10, 2017",49.61,50.11,48.31,48.49,48.49,"7,96,960"
"Mar 09, 2017",50.22,50.84,48.59,49.28,49.28,"10,73,506"
"Mar 08, 2017",52.79,52.92,50.05,50.28,50.28,"9,63,392"
"Mar 07, 2017",53.17,53.8,52.71,53.14,53.14,"4,94,677"
"Mar 06, 2017",53.19,53.56,52.76,53.2,53.2,"5,03,692"
"Mar 03, 2017",52.58,53.39,52.55,53.33,53.33,"4,36,360"
"Mar 02, 2017",53.69,53.8,52.54,52.61,52.61,"6,38,390"
"Mar 01, 2017",53.95,54.44,53.63,53.83,53.83,"4,91,289"
"Feb 28, 2017",54.04,54.23,53.18,54.01,54.01,"5,93,909"
"Feb 27, 2017",54.02,54.61,53.94,54.05,54.05,"3,94,380"
"Feb 24, 2017",54.33,54.51,53.76,53.99,53.99,"3,95,258"
"Feb 23, 2017",53.91,54.94,53.87,54.45,54.45,"5,29,880"
"Feb 22, 2017",54.26,54.6,53.35,53.59,53.59,"4,99,480"
"Feb 21, 2017",53.48,54.68,53.35,54.06,54.06,"6,65,310"
"Feb 17, 2017",53.47,53.52,52.88,53.4,53.4,"1,95,352"
"Feb 16, 2017",53.01,53.59,52.68,53.36,53.36,"3,43,363"
"Feb 15, 2017",53,53.51,52.73,53.11,53.11,"4,63,638"
"Feb 14, 2017",52.91,53.72,52.86,53.2,53.2,"4,93,022"
